river.basin,water.body,location,county,site.number,site.name,latitude,longitude,year,pH,Alk,Turb,TSS,Cond,PO4,NH3N,NO3N,Sed,Nut,Overall,VWIN.rating,rating.numeric
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2018,A,D,D,D,B,B,A,A,25,91.7,66.7,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2017,A,D,D,D,B,B,A,A,25,91.7,66.7,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2016,A,D,C,D,B,C,A,A,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2015,A,D,C,D,B,C,A,A,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2014,A,D,C,D,B,C,A,A,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2013,A,D,C,D,B,C,C,A,37.5,66.7,58.4,Poor,1
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2012,A,D,C,D,B,C,C,B,37.5,58.3,54.1,Poor,1
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2011,A,D,C,D,B,C,C,A,37.5,66.7,58.4,Poor,1
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2010,A,D,C,B,B,C,B,B,62.5,66.7,66.7,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2009,A,C,C,C,B,C,B,B,50,66.7,62.5,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2008,A,C,C,C,B,C,A,B,50,75,66.7,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2007,A,C,D,D,B,B,A,B,25,83.3,62.5,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2006,A,C,C,D,B,B,A,B,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2005,A,D,C,D,B,B,A,B,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2004,A,C,C,D,B,B,A,B,37.5,83.3,66.6,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2003,A,C,C,C,B,C,A,B,50,75,66.7,Below Average,2
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2002,D,C,B,B,B,C,A,B,75,75,75,Average,3
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2001,D,C,C,B,C,C,C,B,62.5,58.3,58.3,Poor,1
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,2000,D,B,C,C,C,C,C,B,50,58.3,54.1,Poor,1
French Broad,French Broad River,Corcoran Park at Glenn Bridge Rd,Buncombe,B13,French Broad River at Corcoran Park at Glenn Bridge Rd,35.45498,-82.54687,1999,D,B,C,C,C,B,C,B,50,66.7,58.4,Poor,1
